customerID,gender,SeniorCitizenLabel,Partner,Dependents,tenure,TenureGroup,Contract,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,EstimatedAnnualRevenue,AverageMonthlyValue,MonthlyChargeBand,Churn,ChurnFlag,PredictedChurnProbability,ChurnRiskBand,RecommendedRetentionAction
7590-VHVEG,Female,Non-Senior,Yes,No,1,0-12 Months,Month-to-month,DSL,Electronic check,29.85,29.85,358.20000000000005,29.85,Low Value,No,0,0.7168364369313605,High Risk,Proactive retention campaign and contract upgrade incentive
5575-GNVDE,Male,Non-Senior,No,No,34,25-48 Months,One year,DSL,Mailed check,56.95,1889.5,683.4000000000001,55.5735294117647,Mid-Low Value,No,0,0.1809357650188891,Low Risk,Maintain standard service and monitor customer experience
3668-QPYBK,Male,Non-Senior,No,No,2,0-12 Months,Month-to-month,DSL,Mailed check,53.85,108.15,646.2,54.075,Mid-Low Value,Yes,1,0.6098653314478005,High Risk,Proactive retention campaign and contract upgrade incentive
7795-CFOCW,Male,Non-Senior,No,No,45,25-48 Months,One year,DSL,Bank transfer (automatic),42.3,1840.75,507.6,40.90555555555556,Mid-Low Value,No,0,0.14336512467164475,Low Risk,Maintain standard service and monitor customer experience
9237-HQITU,Female,Non-Senior,No,No,2,0-12 Months,Month-to-month,Fiber optic,Electronic check,70.7,151.65,848.4000000000001,75.825,Mid-High Value,Yes,1,0.8508710733112725,Critical Risk,"Urgent retention call, service review, personalised offer"
9305-CDSKC,Female,Non-Senior,No,No,8,0-12 Months,Month-to-month,Fiber optic,Electronic check,99.65,820.5,1195.8000000000002,102.5625,High Value,Yes,1,0.8847924870563857,Critical Risk,"Urgent retention call, service review, personalised offer"
1452-KIOVK,Male,Non-Senior,No,Yes,22,13-24 Months,Month-to-month,Fiber optic,Credit card (automatic),89.1,1949.4,1069.1999999999998,88.60909090909091,Mid-High Value,No,0,0.6733076701667835,High Risk,Proactive retention campaign and contract upgrade incentive
6713-OKOMC,Female,Non-Senior,No,No,10,0-12 Months,Month-to-month,DSL,Mailed check,29.75,301.9,357.0,30.19,Low Value,No,0,0.5159512265160405,High Risk,Proactive retention campaign and contract upgrade incentive
7892-POOKP,Female,Non-Senior,Yes,No,28,25-48 Months,Month-to-month,Fiber optic,Electronic check,104.8,3046.05,1257.6,108.7875,High Value,Yes,1,0.6893184578241567,High Risk,Proactive retention campaign and contract upgrade incentive
6388-TABGU,Male,Non-Senior,No,Yes,62,49+ Months,One year,DSL,Bank transfer (automatic),56.15,3487.95,673.8,56.25725806451613,Mid-Low Value,No,0,0.154479265865883,Low Risk,Maintain standard service and monitor customer experience
9763-GRSKD,Male,Non-Senior,Yes,Yes,13,13-24 Months,Month-to-month,DSL,Mailed check,49.95,587.45,599.4000000000001,45.18846153846154,Mid-Low Value,No,0,0.42470761861280687,Medium Risk,"Targeted engagement, onboarding support and usage monitoring"
